id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,raw_data,created_at
80,80,1800,Alimentação concedida em pecúnia com caráter salarial,01/01/2026,"",Alimentação concedida sob a forma de pecúnia com natureza salarial,S,"{""NOME"": ""Alimentação concedida em pecúnia com caráter salarial"", ""DTFIM"": null, ""CODIGO"": 1800, ""DTINICIO"": 1012026, ""DESCRICAO"": ""Alimentação concedida sob a forma de pecúnia com natureza salarial"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
82,82,1802,Etapas (marítimos),01/01/2014,"",Auxílio-alimentação ao trabalhador marítimo,S,"{""NOME"": ""Etapas (marítimos)"", ""DTFIM"": null, ""CODIGO"": 1802, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Auxílio-alimentação ao trabalhador marítimo"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
83,83,1805,Moradia,01/01/2014,"",Auxílio-moradia,S,"{""NOME"": ""Moradia"", ""DTFIM"": null, ""CODIGO"": 1805, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Auxílio-moradia"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
84,84,1806,"Alimentação em ticket ou cartão, vinculada ao PAT",01/01/2014,"","Alimentação concedida sob a forma de ticket ou cartão, por empresa vinculada ao Programa de Alimentação do Trabalhador - PAT",S,"{""NOME"": ""Alimentação em ticket ou cartão, vinculada ao PAT"", ""DTFIM"": null, ""CODIGO"": 1806, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Alimentação concedida sob a forma de ticket ou cartão, por empresa vinculada ao Programa de Alimentação do Trabalhador - PAT"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
85,85,1807,"Alimentação em ticket ou cartão, não vinculada ao PAT",01/01/2014,"","Alimentação concedida sob a forma de ticket ou cartão, por empresa não vinculada ao PAT",S,"{""NOME"": ""Alimentação em ticket ou cartão, não vinculada ao PAT"", ""DTFIM"": null, ""CODIGO"": 1807, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Alimentação concedida sob a forma de ticket ou cartão, por empresa não vinculada ao PAT"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
86,86,1808,"Cesta básica ou refeição, vinculada ao PAT",01/01/2014,"","Alimentação concedida sob a forma de cesta básica ou refeição, por empresa vinculada ao PAT",S,"{""NOME"": ""Cesta básica ou refeição, vinculada ao PAT"", ""DTFIM"": null, ""CODIGO"": 1808, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Alimentação concedida sob a forma de cesta básica ou refeição, por empresa vinculada ao PAT"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
87,87,1809,"Cesta básica ou refeição, não vinculada ao PAT",01/01/2014,"","Alimentação concedida sob a forma de cesta básica ou refeição, por empresa não vinculada ao PAT",S,"{""NOME"": ""Cesta básica ou refeição, não vinculada ao PAT"", ""DTFIM"": null, ""CODIGO"": 1809, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Alimentação concedida sob a forma de cesta básica ou refeição, por empresa não vinculada ao PAT"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
89,89,1810,Vale-transporte ou auxílio-transporte com caráter indenizatório,01/01/2026,"",Vale-transporte ou auxílio-transporte com natureza indenizatória por força de lei,S,"{""NOME"": ""Vale-transporte ou auxílio-transporte com caráter indenizatório"", ""DTFIM"": null, ""CODIGO"": 1810, ""DTINICIO"": 1012026, ""DESCRICAO"": ""Vale-transporte ou auxílio-transporte com natureza indenizatória por força de lei"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
90,90,1811,Auxílio-transporte ou auxílio-combustível com caráter salarial,01/01/2014,"","Auxílio-transporte, pago em pecúnia ou de outra forma, com natureza salarial",S,"{""NOME"": ""Auxílio-transporte ou auxílio-combustível com caráter salarial"", ""DTFIM"": null, ""CODIGO"": 1811, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Auxílio-transporte, pago em pecúnia ou de outra forma, com natureza salarial"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
91,91,1899,Outros auxílios,01/01/2014,"",Valores relativos a outros auxílios não previstos nos demais itens,"","{""NOME"": ""Outros auxílios"", ""DTFIM"": null, ""CODIGO"": 1899, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valores relativos a outros auxílios não previstos nos demais itens"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
