id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,raw_data,created_at,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb
229,1,229,DESC. ASSIST. MEDICA,774,9299-Outros descontos,VERIFICAR,-,"Natureza da Rubrica sujerida - 9911 Valor não relativo a vencimento ou desconto, relativo à assistência prestada por serviço médico ou odontológico, próprio da empresa ou por ela conveniado, como benefício ao trabalhador",,,,,"{""202501"": ""DESC. ASSIST. MEDICA"", ""__EMPTY"": ""9299-Outros descontos"", ""__EMPTY_1"": ""VERIFICAR"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": ""Natureza da Rubrica sujerida - 9911 Valor não relativo a vencimento ou desconto, relativo à assistência prestada por serviço médico ou odontológico, próprio da empresa ou por ela conveniado, como benefício ao trabalhador"", ""Competencia"": 774}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1,230,DESC. ASSIST. ODONTOLOGICA,775,9299-Outros descontos,VERIFICAR,-,"Natureza da Rubrica sujerida - 9911 Valor não relativo a vencimento ou desconto, relativo à assistência prestada por serviço médico ou odontológico, próprio da empresa ou por ela conveniado, como benefício ao trabalhador",,,,,"{""202501"": ""DESC. ASSIST. ODONTOLOGICA"", ""__EMPTY"": ""9299-Outros descontos"", ""__EMPTY_1"": ""VERIFICAR"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": ""Natureza da Rubrica sujerida - 9911 Valor não relativo a vencimento ou desconto, relativo à assistência prestada por serviço médico ou odontológico, próprio da empresa ou por ela conveniado, como benefício ao trabalhador"", ""Competencia"": 775}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1,231,DESC. VALE ALIMENTACAO,776,9243-,VERIFICAR ,-,"Natureza da Rubrica sujerida - 9241 Alimentação em ticket ou cartão, vinculada ao PAT - Desconto",,,,,"{""202501"": ""DESC. VALE ALIMENTACAO"", ""__EMPTY"": ""9243-"", ""__EMPTY_1"": ""VERIFICAR "", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": ""Natureza da Rubrica sujerida - 9241 Alimentação em ticket ou cartão, vinculada ao PAT - Desconto"", ""Competencia"": 776}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1,232,DESC. VALE ALIMENTACAO NAO UTILIZADO,778,9243-,VERIFICAR ,-,"Natureza da Rubrica sujerida - 9241 Alimentação em ticket ou cartão, vinculada ao PAT - Desconto",,,,,"{""202501"": ""DESC. VALE ALIMENTACAO NAO UTILIZADO"", ""__EMPTY"": ""9243-"", ""__EMPTY_1"": ""VERIFICAR "", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": ""Natureza da Rubrica sujerida - 9241 Alimentação em ticket ou cartão, vinculada ao PAT - Desconto"", ""Competencia"": 778}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1,233,DESC. ASSIST. MEDICA MES ANTERIOR,779,9219-Desconto de assistência médica ou odontológica,OK,Rubrica com inconsistência de IRRF,0,,,,,"{""202501"": ""DESC. ASSIST. MEDICA MES ANTERIOR"", ""__EMPTY"": ""9219-Desconto de assistência médica ou odontológica"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""Rubrica com inconsistência de IRRF"", ""__EMPTY_3"": 0, ""Competencia"": 779}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,1,234,ADIANTAMENTO - (PGTO FÉRIAS),786,5501-Adiantamento de salário,OK,-,0,,,,,"{""202501"": ""ADIANTAMENTO - (PGTO FÉRIAS)"", ""__EMPTY"": ""5501-Adiantamento de salário"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 786}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,1,235,PREMIO ASSIDUIDADE (SEM INCIDENCIA),792,2501-Prêmios,OK,Rubrica com inconsistência de IRRF,0,,,,,"{""202501"": ""PREMIO ASSIDUIDADE (SEM INCIDENCIA)"", ""__EMPTY"": ""2501-Prêmios"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""Rubrica com inconsistência de IRRF"", ""__EMPTY_3"": 0, ""Competencia"": 792}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,1,236,DESC. EMPRESTIMO NEON,806,9254-Empréstimos consignados – desconto,OK,-,0,,,,,"{""202501"": ""DESC. EMPRESTIMO NEON"", ""__EMPTY"": ""9254-Empréstimos consignados – desconto"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 806}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1,237,ACUMULO DE FUNCAO,811,1211-Gratificações,VERIFICAR ,-,Natureza de Rubrica sujerida 1210 - Gratificação por acordo ou convenção coletiva,,,,,"{""202501"": ""ACUMULO DE FUNCAO"", ""__EMPTY"": ""1211-Gratificações"", ""__EMPTY_1"": ""VERIFICAR "", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": ""Natureza de Rubrica sujerida 1210 - Gratificação por acordo ou convenção coletiva"", ""Competencia"": 811}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,1,238,ADIC. INSALUBRIDADE SOBRE SALARIO,814,1202-Adicional de insalubridade,OK,-,Verificar tipo de Rendimentos no GI,,,,,"{""202501"": ""ADIC. INSALUBRIDADE SOBRE SALARIO"", ""__EMPTY"": ""1202-Adicional de insalubridade"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": ""Verificar tipo de Rendimentos no GI"", ""Competencia"": 814}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
