id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,raw_data,created_at,natureza_anterior,natureza_nova,usuario_correcao,data_correcao,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb
850,1,395,1034,DESC. EMPRESTIMO ECONSIGNADO FGTS,9253-Empréstimos eConsignado - Desconto,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. EMPRESTIMO ECONSIGNADO FGTS"", ""CodigoEvento"": 1034, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9253-Empréstimos eConsignado - Desconto""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,1,396,1035,DESC. EMPRESTIMO ECONSIGNADO FGTS,9253-Empréstimos eConsignado - Desconto,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. EMPRESTIMO ECONSIGNADO FGTS"", ""CodigoEvento"": 1035, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9253-Empréstimos eConsignado - Desconto""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,1,397,1036,DESC. EMPRESTIMO ECONSIGNADO FGTS,9253-Empréstimos eConsignado - Desconto,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. EMPRESTIMO ECONSIGNADO FGTS"", ""CodigoEvento"": 1036, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9253-Empréstimos eConsignado - Desconto""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,1,398,1037,DESC. EMPRESTIMO ECONSIGNADO FGTS,9253-Empréstimos eConsignado - Desconto,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. EMPRESTIMO ECONSIGNADO FGTS"", ""CodigoEvento"": 1037, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9253-Empréstimos eConsignado - Desconto""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,1,399,1038,DESC. EMPRESTIMO ECONSIGNADO FGTS,9253-Empréstimos eConsignado - Desconto,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. EMPRESTIMO ECONSIGNADO FGTS"", ""CodigoEvento"": 1038, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9253-Empréstimos eConsignado - Desconto""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,1,400,1039,DESC. EMPRESTIMO ECONSIGNADO FGTS,9253-Empréstimos eConsignado - Desconto,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. EMPRESTIMO ECONSIGNADO FGTS"", ""CodigoEvento"": 1039, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9253-Empréstimos eConsignado - Desconto""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,1,401,1040,DESC. EMPRESTIMO ECONSIGNADO FGTS,9253-Empréstimos eConsignado - Desconto,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. EMPRESTIMO ECONSIGNADO FGTS"", ""CodigoEvento"": 1040, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9253-Empréstimos eConsignado - Desconto""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,1,402,1041,PAGTO. ASSIST. MEDICA,1629-Ressarcimento de outras despesas,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""PAGTO. ASSIST. MEDICA"", ""CodigoEvento"": 1041, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1629-Ressarcimento de outras despesas""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,1,403,1042,REEMBOLSO CO PARTICIPACAO A.M.,9299-Outros descontos,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""REEMBOLSO CO PARTICIPACAO A.M."", ""CodigoEvento"": 1042, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9299-Outros descontos""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,1,404,1043,FERIAS EM DOBRO,1024-Férias - o dobro na vigência do contrato,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""FERIAS EM DOBRO"", ""CodigoEvento"": 1043, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1024-Férias - o dobro na vigência do contrato""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,1,405,1044,AUXILIO ESPECIAL,1899-Outros Auxilios ,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""AUXILIO ESPECIAL"", ""CodigoEvento"": 1044, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1899-Outros Auxilios ""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
