id,cod_rubrica,descricao,cod_natureza,incid_inss,incid_irrf,incid_fgts,analise,incid_base_legal_inss,incid_base_legal_irrf,incid_base_legal_fgts,importado_em,corrigido,corrigido_em,envio_status,ini_valid_esocial
9,19,REEMB. EXAME ADMISSIONAL,6129 - Outras verbas não remuneratórias (indenizatórias ou multas),0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","79 - Artigos 6 da Lei nº 7.713/88 e Artigo 2° da Lei n° 8.036/90, e artigo 65 do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,t,2026-03-28 04:36:18.101042,feito,
33,105,HORAS EXTRAS 50%,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
34,108,HORAS EXTRAS 50% - MES ANTERIOR,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
35,123,HORAS EXTRAS 100%,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
36,127,HORAS EXTRAS 100% - MES ANTERIOR,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
37,135,D.S.R. S/HORA EXTRA,1002 - Descanso semanal remunerado - DSR,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
38,136,D.S.R. S/ADICIONAL,1002 - Descanso semanal remunerado - DSR,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
39,145,DEV. FALTAS (DIAS),"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
40,146,DEV. D.S.R. S/FALTAS (DIAS),1002 - Descanso semanal remunerado - DSR,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
41,149,REEMB D.S.R MES ANTERIOR,1002 - Descanso semanal remunerado - DSR,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
42,151,REEMB. VALE TRANSPORTE MÊS ANTERIOR,1810 - Transporte (Servidores e Empregados Públicos),0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 5º da IN 1500/2014,"0 - Precedente Administrativo nº 311 - Precedente Administrativo nº 3, Ato Declaratório 04/2002",2026-03-28 04:05:08.371145,f,,pendente,
43,153,DIF. ADIC. PERICULOSIDADE,1203 - Adicional de periculosidade,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
44,155,REEMB. VALE ALIMENTACAO MES ANTERIOR,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
