id,cruzamento_upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb,raw_data,created_at
11503,11,53,53,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 53, ""Cód. FGTS"": 0, ""Cód. INSS"": 0, ""Cód. IRRF"": 9}",2026-03-27 16:02:12.212327
11504,11,54,54,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 54, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11505,11,55,55,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 55, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11506,11,56,56,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 56, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11507,11,57,57,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 57, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11508,11,58,58,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 58, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11509,11,59,59,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 59, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11510,11,60,60,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 60, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11511,11,61,61,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 61, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11512,11,62,62,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 62, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11513,11,63,63,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 63, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11514,11,64,64,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 64, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11515,11,65,65,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 65, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11516,11,66,66,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 66, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11517,11,67,67,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 67, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11518,11,68,68,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 68, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11519,11,69,69,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 69, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
