id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,raw_data,created_at
166,,166,431,DEVOLUCAO DESC. MULTAS TRANSITO,2920 - Reembolsos diversos,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
167,,167,439,HORAS EXTRAS 100% MES ANTERIOR,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
168,,168,441,HORAS EXTRAS 50% MES ANTERIOR,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
169,,169,444,DIF. VA E VR - CCT,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
170,,170,449,GRATIFICACAO,1211 - Gratificações,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
171,,171,457,ADIC. NOTURNO C/20%,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
172,,172,459,13 SALARIO,5001 - 13º salário,12,12,12,-,"12 - Artigo 28, inciso I, da Lei n° 8.212/91",12 - Artigos 3º e 7º da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
173,,173,462,DESC H EXTRAS 50% - MES ANT,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
174,,174,464,DIF. 13º SALARIO,5001 - 13º salário,12,12,12,-,"12 - Artigo 28, inciso I, da Lei n° 8.212/91",12 - Artigos 3º e 7º da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
175,,175,465,DIF. 13º SALARIO,5001 - 13º salário,12,12,12,-,"12 - Artigo 28, inciso I, da Lei n° 8.212/91",12 - Artigos 3º e 7º da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
176,,176,469,13º SALARIO S/SALARIO MATERNIDADE,4051 - Salário maternidade - 13º salário,22,12,12,-,"22 - Artigo 28, inciso I, da Lei n° 8.212/91",12 - Artigo 26 da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
177,,177,470,13º SALARIO,5001 - 13º salário,12,12,12,-,"12 - Artigo 28, inciso I, da Lei n° 8.212/91",12 - Artigos 3º e 7º da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
178,,178,478,ARTIGO 477,6106 - Multa do art. 477 da CLT.,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
179,,179,479,INDENIZACAO ARTº 479,6104 - Indenização do art. 479 da CLT,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88 e artigo 28 da Lei nº 8.036/90","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
180,,180,480,ADIC. S/13º SALARIO,5001 - 13º salário,12,12,12,-,"12 - Artigo 28, inciso I, da Lei n° 8.212/91",12 - Artigos 3º e 7º da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
181,,181,481,ADIC. 13º SALARIO S/AVISO PREVIO,6001 - 13º salário relativo ao aviso-prévio indenizado,12,12,21,Rubrica com inconsistência de IRRF,"12 - Artigo 28, inciso I, da Lei n° 8.212/91","74 - 1.500/2014 (art. 7º, inciso III)",21 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
182,,182,482,ADIC. PERICULOSIDADE S/2ª PARCELA 13º SALARIO,5001 - 13º salário,12,12,12,-,"12 - Artigo 28, inciso I, da Lei n° 8.212/91",12 - Artigos 3º e 7º da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
183,,183,483,F.G.T.S. MES ANTERIOR,9908 - FGTS - depósito,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 7º da Lei nº 8.134/90,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
184,,184,488,DIF. VALE REFEICAO,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
185,,185,490,DIF. ASSISTENCIA MEDICA,1405 - Assistência médica,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
186,,186,499,DIF. VALE-TRANSPORTE,1810 - Transporte (Servidores e Empregados Públicos),0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 5º da IN 1500/2014,0 - Precedente Administrativo nº 3,,2026-03-29 12:58:13.681214
187,,187,499,DIF. VALE-TRANSPORTE,1810 - Transporte (Servidores e Empregados Públicos),0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 5º da IN 1500/2014,"11 - Precedente Administrativo nº 3, Ato Declaratório 04/2002",,2026-03-29 12:58:13.681214
188,,188,500,DESC. FALTAS (DIAS),"9207 - Desconto decorrente de ausência de trabalho durante todo o dia em razão de, por exemplo, falta injustificada, suspensão disciplinar, greve",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
189,,189,501,DESC. FALTAS (HORAS),9209 - Faltas ou atrasos,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
190,,190,502,DESC. ATRASO/FALTA HORAS,9209 - Faltas ou atrasos,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
191,,191,503,DESC. D.S.R. S/FALTAS (DIAS),9211 - DSR sobre faltas,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
192,,192,504,DESC. D.S.R. S/FALTAS (HORAS),9210 - DSR s/faltas e atrasos,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
193,,193,505,DESC. ATRASOS/SAIDAS ANTECIPADAS,9209 - Faltas ou atrasos,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
194,,194,506,DESC. ATRASOS/SAIDAS MES ANTERIOR,9209 - Faltas ou atrasos,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
195,,195,507,DESC. D.S.R. MES ANTERIOR,9210 - DSR s/faltas e atrasos,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
196,,196,509,DESC. DEV. HE/A.N./DSR - MES ANT,9299 - Outros descontos,11,11,11,"Rubrica com inconsistência de INSS, IRRF e FGTS","0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
197,,197,510,DESC. DEVOL.PAGTO A MAIOR,9290 - Desconto de pagamento indevido em meses anteriores,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
198,,198,510,DESC. DEVOL.PAGTO A MAIOR,9290 - Desconto de pagamento indevido em meses anteriores,11,11,11,-,"12 - Artigo 28, § 9º da Lei n° 8.212/91",13 - Artigos 3º e 7º da Lei nº 7.713/88,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
199,,199,510,DESC. DEVOL.PAGTO A MAIOR,9290 - Desconto de pagamento indevido em meses anteriores,11,11,11,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,12 - Artigos 3º e 7º da Lei nº 7.713/88,http://www.planalto.gov.br/ccivil_03/LEIS/L8036consol.htm,,2026-03-29 12:58:13.681214
200,,200,511,DESC. DIF.DISSIDIO,9290 - Desconto de pagamento indevido em meses anteriores,11,11,11,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,11 - Artigos 3º e 7º da Lei nº 7.713/88,http://www.planalto.gov.br/ccivil_03/LEIS/L8036consol.htm,,2026-03-29 12:58:13.681214
201,,201,511,DESC. DIF.DISSIDIO,9290 - Desconto de pagamento indevido em meses anteriores,11,11,11,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,13 - Artigos 3º e 7º da Lei nº 7.713/88,http://www.planalto.gov.br/ccivil_03/LEIS/L8036consol.htm,,2026-03-29 12:58:13.681214
202,,202,511,DESC. DIF.DISSIDIO,9290 - Desconto de pagamento indevido em meses anteriores,11,11,11,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,12 - Artigos 3º e 7º da Lei nº 7.713/88,http://www.planalto.gov.br/ccivil_03/LEIS/L8036consol.htm,,2026-03-29 12:58:13.681214
203,,203,512,DESC. FALTAS HORAS MES ANTERIOR,9209 - Faltas ou atrasos,11,11,11,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,11 - Artigos 3º e 7º da Lei nº 7.713/88,http://www.planalto.gov.br/ccivil_03/LEIS/L8036consol.htm,,2026-03-29 12:58:13.681214
204,,204,516,DESC. ASSIST. ODONTOLOGICA DEPENDENTE,9219 - Desconto de assistência médica ou odontológica - Plano coletivo empresarial,0,9,0,Rubrica com inconsistência de IRRF,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,67 - Artigos 3º e 7º da Lei nº 7.713/88,http://www.planalto.gov.br/ccivil_03/LEIS/L8036consol.htm,,2026-03-29 12:58:13.681214
205,,205,519,DESC. CONTRIB. ASSISTENCIAL LABORAL,9232 - Contribuição Sindical - Assistencial,0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 4º da Lei nº 9.250/95,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
206,,206,520,DESC. AVARIA,9270 - Danos e prejuízos causados pelo trabalhador,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 4º da Lei nº 9.250/95,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
207,,207,521,DESC. AVISO PREVIO,6901 - Desconto do aviso-prévio,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
208,,208,522,DESC. CO PARTICIPACAO A.M.,9219 - Desconto de assistência médica ou odontológica - Plano coletivo empresarial,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",67 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
209,,209,524,DESC. DIF. SALARIO,9299 - Outros descontos,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
210,,210,525,DESC. PGTO. ANTECIPADO,9200 - Desconto de Adiantamentos,0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
211,,211,525,DESC. PGTO. ANTECIPADO,9200 - Desconto de Adiantamentos,0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
212,,212,526,DESC. PLR,9232 - Contribuição Sindical - Assistencial,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 4º da Lei nº 9.250/95,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
213,,213,530,DESC. VALE-TRANSP DISSIDIO 6%,9216 - Desconto de vale transporte,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
214,,214,537,DESC. ASSIST. MEDICA,9219 - Desconto de assistência médica ou odontológica - Plano coletivo empresarial,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",67 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
215,,215,540,DESC. SALDO NEGATIVO,2930 - Insuficiência de saldo,0,9,0,-,0 - Sem previsão legal.,9 - Sem previsão legal.,0 - Sem previsão legal.,,2026-03-29 12:58:13.681214
216,,216,541,DESC. ARREDONDAMENTO,2999 - Arredondamentos,0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
217,,217,544,DESC. DIVERSOS,9299 - Outros descontos,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
218,,218,546,DESC. ADIANT. NORMAL (FORAMES),9200 - Desconto de Adiantamentos,0,11,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
219,,219,546,DESC. ADIANT. NORMAL (FORAMES),9200 - Desconto de Adiantamentos,0,11,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
220,,220,547,DESC. ESTACIONAMENTO,9299 - Outros descontos,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
221,,221,548,DESC. VR NAO UTILIZADO,"9243 - Cesta básica ou refeição, vinculada ao PAT - Desconto",0,9,0,-,"0 - Artigo 28, §9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
222,,222,550,DESC. PAGTO. INDEVIDO,9299 - Outros descontos,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
223,,223,552,DESC. CONTRIB. ASSISTENCIAL LABORAL,9232 - Contribuição Sindical - Assistencial,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 4º da Lei nº 9.250/95,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
224,,224,554,DESC. 13º SALARIO,9214 - 13° salário - desconto de adiantamento,12,12,12,Rubrica com inconsistência de INSS e IRRF,"0 - Artigo 28, § 9º, da Lei n° 8.212/91",9 - Artigos 26 da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
225,,225,555,DESC. 13º SALARIO ANTECIPADO,9214 - 13° salário - desconto de adiantamento,0,0,12,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º, da Lei n° 8.212/91",9 - Artigos 26 da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
226,,226,556,DESC. MEDIAS ANTECIPACAO 13º SALARIO,9214 - 13° salário - desconto de adiantamento,0,0,12,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º, da Lei n° 8.212/91",9 - Artigos 26 da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
227,,227,558,DESC. ANTEC. ADIC. INSALUBRIDADE S/13º 1ª PARCELA,9214 - 13° salário - desconto de adiantamento,0,0,12,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º, da Lei n° 8.212/91",9 - Artigos 26 da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
228,,228,560,DESC. FERIAS PAGAS,9221 - Desconto de férias,0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
229,,229,560,DESC. FERIAS PAGAS,9221 - Desconto de férias,0,9,0,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",13 - Artigo 12-A da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
230,,230,564,DESC. 2ª VIA CARTAO ALIMENTACAO,9299 - Outros descontos,0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
231,,231,566,DESC. I.N.S.S.,9201 - Contribuição Previdenciária,31,11,0,Rubrica com inconsistência de IRRF,"31 - Artigo 28, § 9º da Lei n° 8.212/91","41 - Artigo 4º, inciso IV, da Lei nº 9.250/95",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
232,,232,566,DESC. I.N.S.S.,9201 - Contribuição Previdenciária,31,11,0,Rubrica com inconsistência de IRRF,"32 - Artigo 28, § 9º da Lei n° 8.212/91","42 - Artigo 4º, inciso IV, da Lei nº 9.250/95",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
233,,233,566,DESC. I.N.S.S.,9201 - Contribuição Previdenciária,31,11,0,Rubrica com inconsistência de IRRF,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,"9 - Artigo 4º, inciso IV, da Lei nº 9.250/95",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
234,,234,570,DESC. I.R.F.,9203 - Imposto de renda retido na fonte,0,31,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,31 - Artigos 26 da Lei nº 7.713/88 e artigo 16 da Lei nº 8.134/90,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
235,,235,570,DESC. I.R.F.,9203 - Imposto de renda retido na fonte,0,31,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,33 - Artigos 3° inciso II e § 4º da Lei nº 7.713/88 e Ato Declaratório PGFN nº 06/2008,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
236,,236,570,DESC. I.R.F.,9203 - Imposto de renda retido na fonte,0,31,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,32 - Artigos 26 da Lei nº 7.713/88 e artigo 16 da Lei nº 8.134/90,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
237,,237,570,DESC. I.R.F.,9203 - Imposto de renda retido na fonte,0,31,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,"34 - Artigo 2º, §§ 5º a 7º, da Lei nº 10.101/2000","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
238,,238,571,DESC. I.R.F. S/FERIAS,9203 - Imposto de renda retido na fonte,0,33,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,31 - Artigos 26 da Lei nº 7.713/88 e artigo 16 da Lei nº 8.134/90,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
239,,239,571,DESC. I.R.F. S/FERIAS,9203 - Imposto de renda retido na fonte,0,33,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,33 - Artigos 3° inciso II e § 4º da Lei nº 7.713/88 e Ato Declaratório PGFN nº 06/2008,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
240,,240,571,DESC. I.R.F. S/FERIAS,9203 - Imposto de renda retido na fonte,0,33,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,32 - Artigos 26 da Lei nº 7.713/88 e artigo 16 da Lei nº 8.134/90,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
241,,241,571,DESC. I.R.F. S/FERIAS,9203 - Imposto de renda retido na fonte,0,33,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,"34 - Artigo 2º, §§ 5º a 7º, da Lei nº 10.101/2000","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
242,,242,572,DESC. I.R.F. S/13º SALARIO,9203 - Imposto de renda retido na fonte,0,32,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,31 - Artigos 26 da Lei nº 7.713/88 e artigo 16 da Lei nº 8.134/90,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
243,,243,572,DESC. I.R.F. S/13º SALARIO,9203 - Imposto de renda retido na fonte,0,32,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,33 - Artigos 3° inciso II e § 4º da Lei nº 7.713/88 e Ato Declaratório PGFN nº 06/2008,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
244,,244,572,DESC. I.R.F. S/13º SALARIO,9203 - Imposto de renda retido na fonte,0,32,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,32 - Artigos 26 da Lei nº 7.713/88 e artigo 16 da Lei nº 8.134/90,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
245,,245,572,DESC. I.R.F. S/13º SALARIO,9203 - Imposto de renda retido na fonte,0,32,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,"34 - Artigo 2º, §§ 5º a 7º, da Lei nº 10.101/2000","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
246,,246,575,DESC. CONTRIB. ASSISTENCIAL - SINDMAN,9232 - Contribuição Sindical - Assistencial,0,0,0,Rubrica com inconsistência de IRRF,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,9 - Artigo 4º da Lei nº 9.250/95,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
247,,247,577,DESC. VA NAO UTILIZADO MES ANTERIOR,9299 - Outros descontos,0,9,0,-,http://www.planalto.gov.br/ccivil_03/LEIS/L8212cons.htm,9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
248,,248,578,DESC. VALE LANCHE NAO UTILIZADO,"9243 - Cesta básica ou refeição, vinculada ao PAT - Desconto",0,9,0,-,"0 - Artigo 28, §9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
249,,249,579,DESC. FALTAS (DIAS) MES ANTERIOR,"9207 - Desconto decorrente de ausência de trabalho durante todo o dia em razão de, por exemplo, falta injustificada, suspensão disciplinar, greve",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
250,,250,580,INDENIZACAO ARTº 480,6904 - Multa prevista no art. 480 da CLT,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","9 - Artigo 6º, inciso V da Lei nº 7.713/88","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
251,,251,582,DESC. CONTRIB. COL. LAB. SINTACLUNS,9232 - Contribuição Sindical - Assistencial,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 4º da Lei nº 9.250/95,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
252,,252,584,DESC. MENS. SINDICAL,9231 - Contribuição Sindical - Associativa,0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 4º da Lei nº 9.250/95,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
