id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb,raw_data,created_at
4203,,108,347,FERIAS VENCIDAS INDENIZADAS (Rescisao),6007-Férias vencidas na rescisão,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""347"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""FERIAS VENCIDAS INDENIZADAS (Rescisao)"", ""Natureza E-social"": ""6007-Férias vencidas na rescisão""}",2026-03-27 16:02:24.74194
4204,,109,348,1/3 FERIAS VENCIDAS INDENIZADAS (Rescisao),6007-Férias vencidas na rescisão,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""348"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""1/3 FERIAS VENCIDAS INDENIZADAS (Rescisao)"", ""Natureza E-social"": ""6007-Férias vencidas na rescisão""}",2026-03-27 16:02:24.74194
4205,,110,349,AVISO PREVIO INDENIZADO (Lei 12506),6003-Indenização compensatória do aviso-prévio,0,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""349"", ""Cód. FGTS"": ""21"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""AVISO PREVIO INDENIZADO (Lei 12506)"", ""Natureza E-social"": ""6003-Indenização compensatória do aviso-prévio""}",2026-03-27 16:02:24.74194
4206,,111,350,FERIAS NORMAIS (Ferias),1016-Férias,11,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""350"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""13"", ""Nome Evento"": ""FERIAS NORMAIS (Ferias)"", ""Natureza E-social"": ""1016-Férias""}",2026-03-27 16:02:24.74194
4207,,112,351,1/3 FERIAS NORMAIS (Ferias),1017-Terço constitucional de férias,11,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""351"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""13"", ""Nome Evento"": ""1/3 FERIAS NORMAIS (Ferias)"", ""Natureza E-social"": ""1017-Terço constitucional de férias""}",2026-03-27 16:02:24.74194
4208,,113,353,AVISO PREVIO INDENIZADO,6003-Indenização compensatória do aviso-prévio,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""353"", ""Cód. FGTS"": ""21"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""AVISO PREVIO INDENIZADO"", ""Natureza E-social"": ""6003-Indenização compensatória do aviso-prévio""}",2026-03-27 16:02:24.74194
4209,,114,354,MEDIAS S/AVISO PREVIO INDENIZADO,6003-Indenização compensatória do aviso-prévio,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""354"", ""Cód. FGTS"": ""21"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""MEDIAS S/AVISO PREVIO INDENIZADO"", ""Natureza E-social"": ""6003-Indenização compensatória do aviso-prévio""}",2026-03-27 16:02:24.74194
4210,,115,357,FERIAS PROPORCIONAIS (Rescisao),6006-Férias proporcionais,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""357"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""FERIAS PROPORCIONAIS (Rescisao)"", ""Natureza E-social"": ""6006-Férias proporcionais""}",2026-03-27 16:02:24.74194
4211,,116,358,1/3 FERIAS PROPORCIONAIS (Rescisao),6006-Férias proporcionais,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""358"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""1/3 FERIAS PROPORCIONAIS (Rescisao)"", ""Natureza E-social"": ""6006-Férias proporcionais""}",2026-03-27 16:02:24.74194
4212,,117,359,ADIC. FERIAS INDENIZADAS (Rescisao),6007-Férias vencidas na rescisão,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""359"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""ADIC. FERIAS INDENIZADAS (Rescisao)"", ""Natureza E-social"": ""6007-Férias vencidas na rescisão""}",2026-03-27 16:02:24.74194
4213,,118,360,1/3 ADIC. FERIAS INDENIZADAS (Rescisao),6007-Férias vencidas na rescisão,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""360"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""1/3 ADIC. FERIAS INDENIZADAS (Rescisao)"", ""Natureza E-social"": ""6007-Férias vencidas na rescisão""}",2026-03-27 16:02:24.74194
4214,,119,361,ADIC. FERIAS S/AVISO PREVIO,6007-Férias vencidas na rescisão,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""361"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""13"", ""Nome Evento"": ""ADIC. FERIAS S/AVISO PREVIO"", ""Natureza E-social"": ""6007-Férias vencidas na rescisão""}",2026-03-27 16:02:24.74194
4215,,120,363,EMPRESTIMO SALDO NEGATIVO,2930-Insuficiência de saldo,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""363"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""EMPRESTIMO SALDO NEGATIVO"", ""Natureza E-social"": ""2930-Insuficiência de saldo""}",2026-03-27 16:02:24.74194
4216,,121,366,DEVOL. I.N.S.S.- FOLHA,1623-Ressarcimento de provisão,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""366"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""DEVOL. I.N.S.S.- FOLHA"", ""Natureza E-social"": ""1623-Ressarcimento de provisão""}",2026-03-27 16:02:24.74194
4217,,122,367,13º SALARIO PROP. S/AVISO PREVIO (Lei 12506),6001-13º salário relativo ao aviso-prévio indenizado,12,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""367"", ""Cód. FGTS"": ""21"", ""Cód. INSS"": ""12"", ""Cód. IRRF"": ""12"", ""Nome Evento"": ""13º SALARIO PROP. S/AVISO PREVIO (Lei 12506)"", ""Natureza E-social"": ""6001-13º salário relativo ao aviso-prévio indenizado""}",2026-03-27 16:02:24.74194
4218,,123,368,FERIAS S/AVISO PREVIO INDENIZADO (Lei 12506),6007-Férias vencidas na rescisão,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""368"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""FERIAS S/AVISO PREVIO INDENIZADO (Lei 12506)"", ""Natureza E-social"": ""6007-Férias vencidas na rescisão""}",2026-03-27 16:02:24.74194
4219,,124,369,1/3 FERIAS S/AVISO PREVIO INDENIZADO (Lei 12506),6007-Férias vencidas na rescisão,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""369"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""1/3 FERIAS S/AVISO PREVIO INDENIZADO (Lei 12506)"", ""Natureza E-social"": ""6007-Férias vencidas na rescisão""}",2026-03-27 16:02:24.74194
4220,,125,370,13º SALARIO INDENIZADO,6002-13° salário proporcional na rescisão,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""370"", ""Cód. FGTS"": ""12"", ""Cód. INSS"": ""12"", ""Cód. IRRF"": ""12"", ""Nome Evento"": ""13º SALARIO INDENIZADO"", ""Natureza E-social"": ""6002-13° salário proporcional na rescisão""}",2026-03-27 16:02:24.74194
4221,,126,371,13º SALARIO PROP. S/AVISO PREVIO,6001-13º salário relativo ao aviso-prévio indenizado,12,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""371"", ""Cód. FGTS"": ""21"", ""Cód. INSS"": ""12"", ""Cód. IRRF"": ""12"", ""Nome Evento"": ""13º SALARIO PROP. S/AVISO PREVIO"", ""Natureza E-social"": ""6001-13º salário relativo ao aviso-prévio indenizado""}",2026-03-27 16:02:24.74194
4222,,127,372,FERIAS S/AVISO PREVIO INDENIZADO,6006-Férias proporcionais,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""372"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""FERIAS S/AVISO PREVIO INDENIZADO"", ""Natureza E-social"": ""6006-Férias proporcionais""}",2026-03-27 16:02:24.74194
4223,,128,373,1/3 FERIAS S/AVISO PREVIO INDENIZADO,6006-Férias proporcionais,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""373"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""1/3 FERIAS S/AVISO PREVIO INDENIZADO"", ""Natureza E-social"": ""6006-Férias proporcionais""}",2026-03-27 16:02:24.74194
4224,,129,374,1/3 ADIC. FERIAS S/AVISO PREVIO,6006-Férias proporcionais,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""374"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""1/3 ADIC. FERIAS S/AVISO PREVIO"", ""Natureza E-social"": ""6006-Férias proporcionais""}",2026-03-27 16:02:24.74194
4225,,130,375,ADIC. 13º SALARIO S/AVISO PREVIO,6001-13º salário relativo ao aviso-prévio indenizado,12,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""375"", ""Cód. FGTS"": ""21"", ""Cód. INSS"": ""12"", ""Cód. IRRF"": ""12"", ""Nome Evento"": ""ADIC. 13º SALARIO S/AVISO PREVIO"", ""Natureza E-social"": ""6001-13º salário relativo ao aviso-prévio indenizado""}",2026-03-27 16:02:24.74194
4226,,131,379,REEMB VALE REFEICAO/ ALIMENTACAO,"1806-Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""379"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMB VALE REFEICAO/ ALIMENTACAO"", ""Natureza E-social"": ""1806-Alimentação em ticket ou cartão, vinculada ao PAT""}",2026-03-27 16:02:24.74194
4227,,132,381,ADIC. INSALUBRIDADE S/13º SALARIO,5001-13º salário,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""381"", ""Cód. FGTS"": ""12"", ""Cód. INSS"": ""12"", ""Cód. IRRF"": ""12"", ""Nome Evento"": ""ADIC. INSALUBRIDADE S/13º SALARIO"", ""Natureza E-social"": ""5001-13º salário""}",2026-03-27 16:02:24.74194
4228,,133,384,EMPRESTIMO FOLHA,2930-Insuficiência de saldo,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""384"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""EMPRESTIMO FOLHA"", ""Natureza E-social"": ""2930-Insuficiência de saldo""}",2026-03-27 16:02:24.74194
4229,,134,390,SALARIO MATERNIDADE,4050-Salário maternidade,21,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""390"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""21"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""SALARIO MATERNIDADE"", ""Natureza E-social"": ""4050-Salário maternidade""}",2026-03-27 16:02:24.74194
4230,,135,393,F.G.T.S. S/AVISO PREVIO (Rescisao),9908-FGTS - depósito,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""393"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""F.G.T.S. S/AVISO PREVIO (Rescisao)"", ""Natureza E-social"": ""9908-FGTS - depósito""}",2026-03-27 16:02:24.74194
4231,,136,396,DEVOL. I.N.S.S. - 13º SALARIO,1623-Ressarcimento de provisão,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""396"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DEVOL. I.N.S.S. - 13º SALARIO"", ""Natureza E-social"": ""1623-Ressarcimento de provisão""}",2026-03-27 16:02:24.74194
4232,,137,402,PREMIO TEMPO DE SERVICO,1206-Adicional por tempo de serviço,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""402"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""PREMIO TEMPO DE SERVICO"", ""Natureza E-social"": ""1206-Adicional por tempo de serviço""}",2026-03-27 16:02:24.74194
4233,,138,403,COMPLEMENTO FERIAS (DISSIDIO),1016-Férias,11,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""403"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""13"", ""Nome Evento"": ""COMPLEMENTO FERIAS (DISSIDIO)"", ""Natureza E-social"": ""1016-Férias""}",2026-03-27 16:02:24.74194
4234,,139,404,DIF. FERIAS,1016-Férias,11,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""404"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""13"", ""Nome Evento"": ""DIF. FERIAS"", ""Natureza E-social"": ""1016-Férias""}",2026-03-27 16:02:24.74194
4235,,140,405,MEDIAS FERIAS (Ferias),1016-Férias,11,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""405"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""13"", ""Nome Evento"": ""MEDIAS FERIAS (Ferias)"", ""Natureza E-social"": ""1016-Férias""}",2026-03-27 16:02:24.74194
4236,,141,406,1/3 MEDIAS FERIAS (Ferias),1017-Terço constitucional de férias,11,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""406"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""13"", ""Nome Evento"": ""1/3 MEDIAS FERIAS (Ferias)"", ""Natureza E-social"": ""1017-Terço constitucional de férias""}",2026-03-27 16:02:24.74194
4237,,142,407,MEDIAS FERIAS S/ABONO (Ferias),1023-Férias - Abono pecuniário,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""407"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""75"", ""Nome Evento"": ""MEDIAS FERIAS S/ABONO (Ferias)"", ""Natureza E-social"": ""1023-Férias - Abono pecuniário""}",2026-03-27 16:02:24.74194
4238,,143,408,1/3 MEDIAS FERIAS S/ABONO (Ferias),1023-Férias - Abono pecuniário,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""408"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""75"", ""Nome Evento"": ""1/3 MEDIAS FERIAS S/ABONO (Ferias)"", ""Natureza E-social"": ""1023-Férias - Abono pecuniário""}",2026-03-27 16:02:24.74194
4239,,144,420,ABONO PECUNIARIO RODOVIARIOS,1403 - Abono Legal,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""420"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""75"", ""Nome Evento"": ""ABONO PECUNIARIO RODOVIARIOS"", ""Natureza E-social"": ""1403 - Abono Legal""}",2026-03-27 16:02:24.74194
4240,,145,421,AJUDA DE CUSTO,1603-Ajuda de custo,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""421"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""73"", ""Nome Evento"": ""AJUDA DE CUSTO"", ""Natureza E-social"": ""1603-Ajuda de custo""}",2026-03-27 16:02:24.74194
4241,,146,426,COMBUSTIVEL,1620-Ressarcimento de despesas pelo uso de veículo próprio,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""426"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""COMBUSTIVEL"", ""Natureza E-social"": ""1620-Ressarcimento de despesas pelo uso de veículo próprio""}",2026-03-27 16:02:24.74194
4242,,147,428,REEMBOLSO DESC. INDEVIDO,1629-Ressarcimento de outras despesas,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""428"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMBOLSO DESC. INDEVIDO"", ""Natureza E-social"": ""1629-Ressarcimento de outras despesas""}",2026-03-27 16:02:24.74194
4243,,148,430,DEVOLUCAO DESC. VT,1629-Ressarcimento de outras despesas,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""430"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""DEVOLUCAO DESC. VT"", ""Natureza E-social"": ""1629-Ressarcimento de outras despesas""}",2026-03-27 16:02:24.74194
4244,,149,431,DEVOLUCAO DESC. MULTAS TRANSITO,2920-Reembolsos diversos,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""431"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""DEVOLUCAO DESC. MULTAS TRANSITO"", ""Natureza E-social"": ""2920-Reembolsos diversos""}",2026-03-27 16:02:24.74194
4245,,150,439,HORAS EXTRAS 100% MES ANTERIOR,1003-Horas extraordinárias,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""439"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""HORAS EXTRAS 100% MES ANTERIOR"", ""Natureza E-social"": ""1003-Horas extraordinárias""}",2026-03-27 16:02:24.74194
4246,,151,441,HORAS EXTRAS 50% MES ANTERIOR,1003-Horas extraordinárias,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""441"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""HORAS EXTRAS 50% MES ANTERIOR"", ""Natureza E-social"": ""1003-Horas extraordinárias""}",2026-03-27 16:02:24.74194
4247,,152,444,DIF. VA E VR - CCT,"1806-Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""444"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""DIF. VA E VR - CCT"", ""Natureza E-social"": ""1806-Alimentação em ticket ou cartão, vinculada ao PAT""}",2026-03-27 16:02:24.74194
4248,,153,449,GRATIFICACAO,1211-Gratificações,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""449"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""GRATIFICACAO"", ""Natureza E-social"": ""1211-Gratificações""}",2026-03-27 16:02:24.74194
4249,,154,457,ADIC. NOTURNO C/20%,1205-Adicional noturno,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""457"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. NOTURNO C/20%"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-27 16:02:24.74194
4250,,155,459,13 SALARIO,5001-13º salário,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""459"", ""Cód. FGTS"": ""12"", ""Cód. INSS"": ""12"", ""Cód. IRRF"": ""12"", ""Nome Evento"": ""13 SALARIO"", ""Natureza E-social"": ""5001-13º salário""}",2026-03-27 16:02:24.74194
4251,,156,462,DESC H EXTRAS 50% - MES ANT,1003-Horas extraordinárias,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""462"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DESC H EXTRAS 50% - MES ANT"", ""Natureza E-social"": ""1003-Horas extraordinárias""}",2026-03-27 16:02:24.74194
4252,,157,464,DIF. 13º SALARIO,5001-13º salário,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""464"", ""Cód. FGTS"": ""12"", ""Cód. INSS"": ""12"", ""Cód. IRRF"": ""12"", ""Nome Evento"": ""DIF. 13º SALARIO"", ""Natureza E-social"": ""5001-13º salário""}",2026-03-27 16:02:24.74194
4253,,158,465,DIF. 13º SALARIO,5001-13º salário,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""465"", ""Cód. FGTS"": ""12"", ""Cód. INSS"": ""12"", ""Cód. IRRF"": ""12"", ""Nome Evento"": ""DIF. 13º SALARIO"", ""Natureza E-social"": ""5001-13º salário""}",2026-03-27 16:02:24.74194
4254,,159,469,13º SALARIO S/SALARIO MATERNIDADE,4051-Salário maternidade – 13° salário,22,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""469"", ""Cód. FGTS"": ""12"", ""Cód. INSS"": ""22"", ""Cód. IRRF"": ""12"", ""Nome Evento"": ""13º SALARIO S/SALARIO MATERNIDADE"", ""Natureza E-social"": ""4051-Salário maternidade – 13° salário""}",2026-03-27 16:02:24.74194
4255,,160,470,13º SALARIO,5001-13º salário,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""470"", ""Cód. FGTS"": ""12"", ""Cód. INSS"": ""12"", ""Cód. IRRF"": ""12"", ""Nome Evento"": ""13º SALARIO"", ""Natureza E-social"": ""5001-13º salário""}",2026-03-27 16:02:24.74194
4256,,161,478,ARTIGO 477,6106-Multa do art. 477 da CLT,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""478"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""ARTIGO 477"", ""Natureza E-social"": ""6106-Multa do art. 477 da CLT""}",2026-03-27 16:02:24.74194
4257,,162,479,INDENIZACAO ARTº 479,6104-Indenização do art. 479 da CLT,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""479"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""INDENIZACAO ARTº 479"", ""Natureza E-social"": ""6104-Indenização do art. 479 da CLT""}",2026-03-27 16:02:24.74194
4258,,163,480,ADIC. S/13º SALARIO,5001-13º salário,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""480"", ""Cód. FGTS"": ""12"", ""Cód. INSS"": ""12"", ""Cód. IRRF"": ""12"", ""Nome Evento"": ""ADIC. S/13º SALARIO"", ""Natureza E-social"": ""5001-13º salário""}",2026-03-27 16:02:24.74194
4259,,164,481,ADIC. 13º SALARIO S/AVISO PREVIO,6001-13º salário relativo ao aviso-prévio indenizado,12,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""481"", ""Cód. FGTS"": ""21"", ""Cód. INSS"": ""12"", ""Cód. IRRF"": ""12"", ""Nome Evento"": ""ADIC. 13º SALARIO S/AVISO PREVIO"", ""Natureza E-social"": ""6001-13º salário relativo ao aviso-prévio indenizado""}",2026-03-27 16:02:24.74194
