id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb,raw_data,created_at
4121,,26,67,DIF. ADIC. INSALUBRIDADE,1202-Adicional de insalubridade,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""67"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DIF. ADIC. INSALUBRIDADE"", ""Natureza E-social"": ""1202-Adicional de insalubridade""}",2026-03-27 16:02:24.74194
4122,,27,69,ADIC. PERICULOSIDADE MES ANTER,1203-Adicional de periculosidade,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""69"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. PERICULOSIDADE MES ANTER"", ""Natureza E-social"": ""1203-Adicional de periculosidade""}",2026-03-27 16:02:24.74194
4123,,28,70,ADIC. PERICULOSIDADE,1203-Adicional de periculosidade,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""70"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. PERICULOSIDADE"", ""Natureza E-social"": ""1203-Adicional de periculosidade""}",2026-03-27 16:02:24.74194
4124,,29,81,HORAS REDUZIDAS ADIC. NOT MES ANT,1205-Adicional noturno,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""81"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""HORAS REDUZIDAS ADIC. NOT MES ANT"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-27 16:02:24.74194
4125,,30,82,HORAS REDUZIDAS ADIC. NOTURNO,1205-Adicional noturno,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""82"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""HORAS REDUZIDAS ADIC. NOTURNO"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-27 16:02:24.74194
4126,,31,93,F.G.T.S. MULTA,6101-Indenização compensatória multa rescisória 20 ou 40% (CF/88),0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""93"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""F.G.T.S. MULTA"", ""Natureza E-social"": ""6101-Indenização compensatória multa rescisória 20 ou 40% (CF/88)""}",2026-03-27 16:02:24.74194
4127,,32,102,HORAS EXTRAS 60%,1003-Horas extraordinárias,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""102"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""HORAS EXTRAS 60%"", ""Natureza E-social"": ""1003-Horas extraordinárias""}",2026-03-27 16:02:24.74194
4128,,33,105,HORAS EXTRAS 50%,1003-Horas extraordinárias,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""105"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""HORAS EXTRAS 50%"", ""Natureza E-social"": ""1003-Horas extraordinárias""}",2026-03-27 16:02:24.74194
4129,,34,108,HORAS EXTRAS 50% - MES ANTERIOR,1003-Horas extraordinárias,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""108"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""HORAS EXTRAS 50% - MES ANTERIOR"", ""Natureza E-social"": ""1003-Horas extraordinárias""}",2026-03-27 16:02:24.74194
4130,,35,123,HORAS EXTRAS 100%,1003-Horas extraordinárias,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""123"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""HORAS EXTRAS 100%"", ""Natureza E-social"": ""1003-Horas extraordinárias""}",2026-03-27 16:02:24.74194
4131,,36,127,HORAS EXTRAS 100% - MES ANTERIOR,1003-Horas extraordinárias,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""127"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""HORAS EXTRAS 100% - MES ANTERIOR"", ""Natureza E-social"": ""1003-Horas extraordinárias""}",2026-03-27 16:02:24.74194
4132,,37,135,D.S.R. S/HORA EXTRA,1002-Descanso semanal remunerado - DSR,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""135"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""D.S.R. S/HORA EXTRA"", ""Natureza E-social"": ""1002-Descanso semanal remunerado - DSR""}",2026-03-27 16:02:24.74194
4133,,38,136,D.S.R. S/ADICIONAL,1002-Descanso semanal remunerado - DSR,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""136"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""D.S.R. S/ADICIONAL"", ""Natureza E-social"": ""1002-Descanso semanal remunerado - DSR""}",2026-03-27 16:02:24.74194
4134,,39,145,DEV. FALTAS (DIAS),"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""145"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DEV. FALTAS (DIAS)"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4135,,40,146,DEV. D.S.R. S/FALTAS (DIAS),1002-Descanso semanal remunerado - DSR,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""146"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DEV. D.S.R. S/FALTAS (DIAS)"", ""Natureza E-social"": ""1002-Descanso semanal remunerado - DSR""}",2026-03-27 16:02:24.74194
4136,,41,149,REEMB D.S.R MES ANTERIOR,1002-Descanso semanal remunerado - DSR,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""149"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""REEMB D.S.R MES ANTERIOR"", ""Natureza E-social"": ""1002-Descanso semanal remunerado - DSR""}",2026-03-27 16:02:24.74194
4137,,42,151,REEMB. VALE TRANSPORTE MÊS ANTERIOR,1810-Transporte,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""151"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMB. VALE TRANSPORTE MÊS ANTERIOR"", ""Natureza E-social"": ""1810-Transporte""}",2026-03-27 16:02:24.74194
4138,,43,153,DIF. ADIC. PERICULOSIDADE,1203-Adicional de periculosidade,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""153"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DIF. ADIC. PERICULOSIDADE"", ""Natureza E-social"": ""1203-Adicional de periculosidade""}",2026-03-27 16:02:24.74194
4139,,44,155,REEMB. VALE ALIMENTACAO MES ANTERIOR,"1806-Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""155"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMB. VALE ALIMENTACAO MES ANTERIOR"", ""Natureza E-social"": ""1806-Alimentação em ticket ou cartão, vinculada ao PAT""}",2026-03-27 16:02:24.74194
4140,,45,156,DIF. FERIAS,1016-Férias,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""156"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""DIF. FERIAS"", ""Natureza E-social"": ""1016-Férias""}",2026-03-27 16:02:24.74194
4141,,46,159,D.S.R. S/ADICIONAL,1002-Descanso semanal remunerado - DSR,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""159"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""D.S.R. S/ADICIONAL"", ""Natureza E-social"": ""1002-Descanso semanal remunerado - DSR""}",2026-03-27 16:02:24.74194
4142,,47,160,D.S.R. S/HORA EXTRA,1002-Descanso semanal remunerado - DSR,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""160"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""D.S.R. S/HORA EXTRA"", ""Natureza E-social"": ""1002-Descanso semanal remunerado - DSR""}",2026-03-27 16:02:24.74194
4143,,48,161,D.S.R. MES ANTERIOR,1002-Descanso semanal remunerado - DSR,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""161"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""D.S.R. MES ANTERIOR"", ""Natureza E-social"": ""1002-Descanso semanal remunerado - DSR""}",2026-03-27 16:02:24.74194
4144,,49,163,D.S.R. S/FERIADO - HS,1012-Descanso semanal remunerado - DSR e feriado,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""163"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""D.S.R. S/FERIADO - HS"", ""Natureza E-social"": ""1012-Descanso semanal remunerado - DSR e feriado""}",2026-03-27 16:02:24.74194
4145,,50,170,D.S.R. S/COMISSAO,1012-Descanso semanal remunerado - DSR e feriado,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""170"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""D.S.R. S/COMISSAO"", ""Natureza E-social"": ""1012-Descanso semanal remunerado - DSR e feriado""}",2026-03-27 16:02:24.74194
