codigo,nome,dt_inicio,dt_fim,descricao,versao
1407,Auxílio-educação,2014-01-01,,"Valor relativo a plano educacional, ou bolsa de estudo, que vise à educação básica de trabalhadores e seus dependentes e, desde que vinculada às atividades desenvolvidas pela empresa, à educação profissional e tecnológica de trabalhadores, nos termos da Lei 9.394/1996, e: 1) não seja utilizado em substituição de parcela salarial; 2) o valor mensal do plano educacional ou bolsa de estudo, considerado individualmente, não ultrapasse 5% (cinco por cento) da remuneração do segurado a que se destina ou o valor correspondente a uma vez e meia o valor do limite mínimo mensal do salário de contribuição, o que for maior",17
1409,Salário-família,2014-01-01,,"Valor do salário-família, conforme definição legal aplicável",17
1410,Auxílio - Locais de difícil acesso,2014-01-01,,"Valor correspondente a transporte, habitação e alimentação fornecido ao trabalhador contratado para prestar serviço em localidade distante da sua residência, em canteiro de obras ou local que, por força da atividade, exija deslocamento e estada",17
1411,Auxílio-natalidade,2014-01-01,,"Valor relativo ao nascimento do filho de servidor público, previsto em lei",17
1412,Abono permanência,2014-01-01,,"Valor relativo ao abono de permanência, de acordo com a CF/1988",17
1601,Ajuda de custo - Aeronauta,2014-01-01,,"Adicional mensal recebidos pelo aeronauta, nos termos da Lei 5.929/1973",17
1602,Ajuda de custo de transferência,2014-01-01,,"Ajuda de custo em parcela única, em razão de transferência de local de trabalho",17
1603,Ajuda de custo,2019-04-01,,Ajuda de custo paga ao trabalhador,17
1604,Ajuda de custo - Acima de 50% da remuneração mensal,2018-05-01,2019-03-31,"Ajuda de custo paga ao trabalhador, superior a 50% da sua remuneração mensal",17
1619,Ajuda compensatória - Programa Emergencial de Manutenção do Emprego e da Renda,2020-04-01,,Ajuda compensatória paga pelo empregador ao empregado durante período de suspensão do contrato de trabalho ou redução proporcional de salário e jornada,17
1620,Ressarcimento de despesas pelo uso de veículo próprio,2014-01-01,,"Ressarcimento de despesas ao trabalhador, pela utilização de veículo de sua propriedade",17
1621,"Ressarcimento de despesas de viagem, exceto despesas com veículos",2014-01-01,,Ressarcimento de despesas pagas com recursos do trabalhador em viagens a trabalho,17
1623,Ressarcimento de provisão,2014-01-01,,Ressarcimento de desconto efetuado em recibos de férias relativo a provisão de contribuição previdenciária,17
1629,Ressarcimento de outras despesas,2014-01-01,,"Ressarcimento de outras despesas pagas pelo trabalhador, não previstas nos demais itens",17
1650,Diárias de viagem,2018-05-01,,Diárias de viagem ao trabalhador,17
1651,Diárias de viagem - Até 50% do salário,2014-01-01,2018-04-30,"Diárias de viagem ao trabalhador, desde que não exceda a 50% do seu salário-base mensal",17
1652,Diárias de viagem - Acima de 50% do salário,2014-01-01,2018-04-30,Diárias de viagem superior a 50% do salário-base mensal,17
1800,Alimentação concedida em pecúnia,2014-01-01,,Alimentação concedida sob a forma de pecúnia,17
1801,Alimentação,2014-01-01,2021-06-30,Auxílio-alimentação,17
