Envio_ID;Tipo_Evento;Modo;Início_Validade;Status;Protocolo;Código_Resposta;Descrição_Resposta;Nr_Recibo;Rubricas;Data_Envio
108;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998383144;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:53
109;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998383492;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:53
110;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998384897;201;Lote Recebido com Sucesso.;1.1.0000000039807506168;? (?);09/04/2026 14:54
111;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998387064;201;Lote Recebido com Sucesso.;1.1.0000000039807522510;? (?);09/04/2026 14:54
112;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998389286;201;Lote Recebido com Sucesso.;1.1.0000000039807536993;? (?);09/04/2026 14:54
113;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998390317;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:54
114;S-1010;alteracao;2026-01;erro;1.1.202604.0000000012998391863;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:54
115;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998393973;201;Lote Recebido com Sucesso.;1.1.0000000039807574925;? (?);09/04/2026 14:54
116;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998395377;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:54
117;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998397356;201;Lote Recebido com Sucesso.;1.1.0000000039807598891;? (?);09/04/2026 14:55
118;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998399295;201;Lote Recebido com Sucesso.;1.1.0000000039807613832;? (?);09/04/2026 14:55
119;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998401621;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:55
120;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998402373;201;Lote Recebido com Sucesso.;1.1.0000000039807638071;? (?);09/04/2026 14:55
121;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998404450;201;Lote Recebido com Sucesso.;1.1.0000000039807659324;? (?);09/04/2026 14:55
122;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998406630;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:56
123;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998407072;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:56
124;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998412959;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:56
125;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998422220;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:57
126;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998431201;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:58
127;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998439344;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:59
128;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998454416;201;Lote Recebido com Sucesso.;1.1.0000000039808053137;? (?);09/04/2026 15:01
129;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998457672;201;Lote Recebido com Sucesso.;1.1.0000000039808081296;? (?);09/04/2026 15:01
130;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998460761;201;Lote Recebido com Sucesso.;1.1.0000000039808105988;? (?);09/04/2026 15:01
131;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998464032;201;Lote Recebido com Sucesso.;1.1.0000000039808135241;? (?);09/04/2026 15:02
132;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998466401;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 15:02
133;S-1010;alteracao;2026-01;erro;1.1.202604.0000000012998467759;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 15:02
134;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998469965;201;Lote Recebido com Sucesso.;1.1.0000000039808190449;? (?);09/04/2026 15:02
135;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998472110;201;Lote Recebido com Sucesso.;1.1.0000000039808207170;? (?);09/04/2026 15:02
136;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998473781;201;Lote Recebido com Sucesso.;1.1.0000000039808220561;? (?);09/04/2026 15:03
137;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998476440;201;Lote Recebido com Sucesso.;1.1.0000000039808239653;? (?);09/04/2026 15:03
138;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998477827;201;Lote Recebido com Sucesso.;1.1.0000000039808250386;? (?);09/04/2026 15:03
139;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998479255;201;Lote Recebido com Sucesso.;1.1.0000000039808261505;? (?);09/04/2026 15:03
140;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998480818;201;Lote Recebido com Sucesso.;1.1.0000000039808272373;? (?);09/04/2026 15:03
141;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998482149;201;Lote Recebido com Sucesso.;1.1.0000000039808282152;? (?);09/04/2026 15:04
142;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998483480;201;Lote Recebido com Sucesso.;1.1.0000000039808292821;? (?);09/04/2026 15:04
143;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998484789;201;Lote Recebido com Sucesso.;1.1.0000000039808304946;? (?);09/04/2026 15:04
144;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998488231;201;Lote Recebido com Sucesso.;1.1.0000000039808332931;? (?);09/04/2026 15:04
145;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998489903;201;Lote Recebido com Sucesso.;1.1.0000000039808345494;? (?);09/04/2026 15:05
